sequence_id	superfamily	classification	length	original_header
AcademH-4_PGr_p1	Academ	DNA/Academ-H	894	AcademH-4_PGr_p1#DNA/Academ-H RBRM:AcademH-4_PGr frameshifts:2 cds_range:529-3437 exons:529-810;894-2357;2425-2954;3031-3437 via genewise with AcademH-6_PGr_p1 [Puccinia graminis]
AcademH-5_PGr_p1	Academ	DNA/Academ-H	888	AcademH-5_PGr_p1#DNA/Academ-H RBRM:AcademH-5_PGr frameshifts:2 cds_range:125-3020 exons:125-373;465-1922;1991-2520;2587-3020 via genewise with AcademH-4_PGr_p1 [Puccinia graminis]
Academ-2_CGi_p1	Academ	DNA/Academ-2	984	Academ-2_CGi_p1#DNA/Academ-2 RBRM:Academ-2_CGi cds_range:176-5110 exons:176-751;1646-2114;2319-2507;2924-3225;3323-3450;3583-3714;3948-5110 Genscan prediction, 4103-5110 [Crassostrea gigas]
Chapaev-1_CE	CMC-Chapaev	DNA/CMC-Chapaev	798	Chapaev-1_CE#DNA/CMC-Chapaev  Dfam:DF0001399 frameshifts:1 cds_range:1076-3814 exons:1076-1366;1711-3814 via genewise with Chapaev-2_CE [Caenorhabditis elegans]
Chapaev-2_CE	CMC-Chapaev	DNA/CMC-Chapaev	824	Chapaev-2_CE#DNA/CMC-Chapaev  Dfam:DF0001514 cds_range:1555-4027 [Caenorhabditis elegans]
Chapaev-1_AA	CMC-Chapaev	DNA/CMC-Chapaev	679	Chapaev-1_AA#DNA/CMC-Chapaev RBRM:Chapaev-1_AA cds_range:623-2726 exons:623-2335;2401-2726 via genewise with Chapaev-2_HM [Aedes aegypti]
Chapaev-1_ACa	CMC-Chapaev	DNA/CMC-Chapaev	938	Chapaev-1_ACa#DNA/CMC-Chapaev RBRM:Chapaev-1_ACa cds_range:726-3540 [Aplysia californica]
Chapaev-1_BF	CMC-Chapaev	DNA/CMC-Chapaev	1081	Chapaev-1_BF#DNA/CMC-Chapaev RBRM:Chapaev-1_BF cds_range:1040-5568 exons:1040-2233;2473-2757;2869-3097;3297-3537;3645-3737;3856-4068;4182-4554;4691-4832;4963-5168;5292-5568 GENSCAN_predicted_peptide_1|1081_aa [Branchiostoma floridae]
Chapaev-1_HM	CMC-Chapaev	DNA/CMC-Chapaev	654	Chapaev-1_HM#DNA/CMC-Chapaev RBRM:Chapaev-1_HM cds_range:376-2433 exons:376-961;1056-2433 (One Genscan-predicted intron) [Hydra vulgaris]
Chapaev-2_ACa	CMC-Chapaev	DNA/CMC-Chapaev	946	Chapaev-2_ACa#DNA/CMC-Chapaev RBRM:Chapaev-2_ACa cds_range:604-3442 [Aplysia californica]
Chapaev-2_BF	CMC-Chapaev	DNA/CMC-Chapaev	1107	Chapaev-2_BF#DNA/CMC-Chapaev RBRM:Chapaev-2_BF cds_range:810-5203 exons:810-2000;2211-2495;2601-2820;2934-3171;3282-3371;3466-3675;3768-4140;4246-4450;4534-4739;4891-5203 GENSCAN_predicted_peptide_1|1036_aa [Branchiostoma floridae]
Chapaev-2_HM	CMC-Chapaev	DNA/CMC-Chapaev	679	Chapaev-2_HM#DNA/CMC-Chapaev RBRM:Chapaev-2_HM cds_range:772-2916 exons:772-1414;1521-2916 (One Genscan-predicted intron) [Hydra vulgaris]
Chapaev-3_ACa	CMC-Chapaev	DNA/CMC-Chapaev	999	Chapaev-3_ACa#DNA/CMC-Chapaev RBRM:Chapaev-3_ACa cds_range:544-3541 [Aplysia californica]
Chapaev-3_HM	CMC-Chapaev	DNA/CMC-Chapaev	864	Chapaev-3_HM#DNA/CMC-Chapaev RBRM:Chapaev-3_HM cds_range:450-4857 exons:450-1391;1940-2170;2553-2793;2902-2979;3066-3272;3379-3709;3800-3956;4131-4327;4641-4857 ( predicted by genewise using Chapaev-3B_HM) [Hydra vulgaris]
Chapaev-3A_HM	CMC-Chapaev	DNA/CMC-Chapaev	898	Chapaev-3A_HM#DNA/CMC-Chapaev RBRM:Chapaev-3A_HM cds_range:450-5517 exons:450-1361;1910-2113;2302-2542;2652-2729;2835-3041;4073-4419;4539-4717;4809-5042;5217-5517 (; predicted by genewise using Chapaev-2_BF; added large first exon, first intron predicted by Genscan) [Hydra vulgaris]
Chapaev-3B_HM	CMC-Chapaev	DNA/CMC-Chapaev	874	Chapaev-3B_HM#DNA/CMC-Chapaev RBRM:Chapaev-3B_HM stops:1 cds_range:455-4410 exons:455-1381;1843-2070;2163-2403;2489-2566;2685-2891;3061-3434;3511-3651;3871-4069;4175-4410 ( predicted by genewise using Chapaev-3A_HM) [Hydra vulgaris]
Chapaev-4_HM	CMC-Chapaev	DNA/CMC-Chapaev	871	Chapaev-4_HM#DNA/CMC-Chapaev RBRM:Chapaev-4_HM cds_range:461-4666 exons:461-1356;1980-2193;2306-2546;2637-2714;2866-3072;3161-3491;3654-3856;4009-4190;4397-4666 ( predicted by genewise using Chapaev-3B_HM) [Hydra vulgaris]
Chapaev-5_HM	CMC-Chapaev	DNA/CMC-Chapaev	687	Chapaev-5_HM#DNA/CMC-Chapaev RBRM:Chapaev-5_HM cds_range:546-2607 [Hydra vulgaris]
Chapaev-5_HMa	CMC-Chapaev	DNA/CMC-Chapaev	660	Chapaev-5_HMa#DNA/CMC-Chapaev RBRM:Chapaev-5_HMa cds_range:360-2418 exons:360-945;1023-2418 via genewise with Chapaev-16_HM [Hydra vulgaris]
Chapaev-6_HM	CMC-Chapaev	DNA/CMC-Chapaev	907	Chapaev-6_HM#DNA/CMC-Chapaev RBRM:Chapaev-6_HM cds_range:465-4883 exons:465-1426;1919-2132;2258-2498;2687-2764;2871-3071;3233-3563;3724-3883;4122-4315;4535-4883 ( predicted by genewise using Chapaev-3B_HM) [Hydra vulgaris]
Chapaev-7_HM	CMC-Chapaev	DNA/CMC-Chapaev	890	Chapaev-7_HM#DNA/CMC-Chapaev RBRM:Chapaev-7_HM cds_range:461-4429 exons:461-1381;1859-2116;2235-2475;2555-2632;2773-2982;3064-3394;3522-3678;3804-3992;4136-4429 ( predicted by genewise using Chapaev-3B_HM) [Hydra vulgaris]
Chapaev-8_HM	CMC-Chapaev	DNA/CMC-Chapaev	899	Chapaev-8_HM#DNA/CMC-Chapaev RBRM:Chapaev-8_HM frameshifts:1 cds_range:674-5660 exons:674-1724;2177-2358;2526-2769;2949-3026;3468-3671;3758-4101;4498-4657;5076-5269;5411-5660 ( predicted by genewise using Chapaev-3B_HM) [Hydra vulgaris]
Chapaev-9_HM	CMC-Chapaev	DNA/CMC-Chapaev	487	Chapaev-9_HM#DNA/CMC-Chapaev RBRM:Chapaev-9_HM cds_range:1065-2526 [Hydra vulgaris]
Chapaev-10_HM	CMC-Chapaev	DNA/CMC-Chapaev	543	Chapaev-10_HM#DNA/CMC-Chapaev RBRM:Chapaev-10_HM cds_range:867-2496 (fragment) [Hydra vulgaris]
Chapaev-11_HM	CMC-Chapaev	DNA/CMC-Chapaev	565	Chapaev-11_HM#DNA/CMC-Chapaev RBRM:Chapaev-11_HM cds_range:857-2626 exons:857-1060;1134-2626 Via genewise with Chapaev-10_HM (1 intron, N-terminus missing) [Hydra vulgaris]
Chapaev-12_HM	CMC-Chapaev	DNA/CMC-Chapaev	615	Chapaev-12_HM#DNA/CMC-Chapaev RBRM:Chapaev-12_HM cds_range:2061-4219 exons:2061-3286;3599-4219 Via genewise with Chapaev-3_ACa [Hydra vulgaris]
Chapaev-13_HM	CMC-Chapaev	DNA/CMC-Chapaev	695	Chapaev-13_HM#DNA/CMC-Chapaev RBRM:Chapaev-13_HM cds_range:317-2462 exons:317-1010;1070-2462 Via genewise with Chapaev-2_HM (1 59 bp intron) [Hydra vulgaris]
Chapaev-14_HM	CMC-Chapaev	DNA/CMC-Chapaev	659	Chapaev-14_HM#DNA/CMC-Chapaev RBRM:Chapaev-14_HM frameshifts:1 cds_range:1329-3505 exons:1329-1911;2111-3505 via genewise with Chapaev-2_HM [Hydra vulgaris]
Chapaev-15_HM	CMC-Chapaev	DNA/CMC-Chapaev	654	Chapaev-15_HM#DNA/CMC-Chapaev RBRM:Chapaev-15_HM frameshifts:2 stops:1 cds_range:501-2540 exons:501-1083;1158-2540 via genewise with Chapaev-2_HM [Hydra vulgaris]
Chapaev-16_HM	CMC-Chapaev	DNA/CMC-Chapaev	656	Chapaev-16_HM#DNA/CMC-Chapaev RBRM:Chapaev-16_HM cds_range:513-2584 exons:513-1095;1198-2584 via genewise with Chapaev-1_HM [Hydra vulgaris]
Chapaev-17_HM	CMC-Chapaev	DNA/CMC-Chapaev	715	Chapaev-17_HM#DNA/CMC-Chapaev RBRM:Chapaev-17_HM frameshifts:1 stops:6 cds_range:749-2893 via tfasty with Chapaev-1_HM (potenitally a damaged intron missed). [Hydra vulgaris]
Chapaev-18_HM	CMC-Chapaev	DNA/CMC-Chapaev	667	Chapaev-18_HM#DNA/CMC-Chapaev RBRM:Chapaev-18_HM cds_range:449-2659 exons:449-1055;1264-2659 via genewise with Chapaev-13_HM [Hydra vulgaris]
Chapaev-19_HM	CMC-Chapaev	DNA/CMC-Chapaev	647	Chapaev-19_HM#DNA/CMC-Chapaev RBRM:Chapaev-19_HM frameshifts:1 cds_range:368-2383 exons:368-950;1023-2383 via genewise with Chapaev-16_HM#DNA/Chapaev [Hydra vulgaris]
Chapaev-21_HM	CMC-Chapaev	DNA/CMC-Chapaev	651	Chapaev-21_HM#DNA/CMC-Chapaev RBRM:Chapaev-21_HM frameshifts:2 cds_range:429-2446 exons:429-1013;1080-2446 via genewise with Chapaev-1_HM#DNA/Chapaev [Hydra vulgaris]
Chapaev3-1_AA	CMC-Chapaev	DNA/CMC-Chapaev-3	590	Chapaev3-1_AA#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_AA cds_range:1524-3294 [Aedes aegypti]
Chapaev3-1_AC	CMC-Chapaev	DNA/CMC-Chapaev-3	479	Chapaev3-1_AC#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_AC frameshifts:1 stops:1 cds_range:233-1671 via tfasty with Chapaev3-1_AA (may contain a 100 bp intron, but stopcodon (small x) is within conserved translated region and no proper donor site can be found) [Anolis carolinensis]
Chapaev3-1_DA	CMC-Chapaev	DNA/CMC-Chapaev-3	554	Chapaev3-1_DA#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_DA cds_range:909-2640 exons:909-2322;2391-2640 (One Genscan-predicted intron) [Drosophila ananassae]
Chapaev3-1_DW	CMC-Chapaev	DNA/CMC-Chapaev-3	537	Chapaev3-1_DW#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_DW frameshifts:4 stops:1 cds_range:978-2587 via tfasty with Chapaev3-1_AA [Drosophila willistoni]
Chapaev3-1_ET	CMC-Chapaev	DNA/CMC-Chapaev-3	453	Chapaev3-1_ET#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_ET cds_range:218-1577 [Echinops telfairi]
Chapaev3-1_HM	CMC-Chapaev	DNA/CMC-Chapaev-3	558	Chapaev3-1_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-3_PM cds_range:208-1882 [Hydra magnipapillata]
Chapaev3-1_HR	CMC-Chapaev	DNA/CMC-Chapaev-3	559	Chapaev3-1_HR#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_HR frameshifts:1 cds_range:459-2135 via tfasty with Chapaev3-1_AA [Helobdella robusta]
Chapaev3-1_NVi	CMC-Chapaev	DNA/CMC-Chapaev-3	583	Chapaev3-1_NVi#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_NVi stops:1 cds_range:1014-2763 via tfasty with Chapaev3-1_AA [Nasonia vitripennis]
Chapaev3-1_OL	CMC-Chapaev	DNA/CMC-Chapaev-3	459	Chapaev3-1_OL#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_OL frameshifts:2 cds_range:439-1818 via tfasty with Chapaev3-1_AA (probably has a 100 AA deletion at N terminus (300 bp missing in consensus) [Oryzias latipes]
Chapaev3-1_PM	CMC-Chapaev	DNA/CMC-Chapaev-3	562	Chapaev3-1_PM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_PM cds_range:311-2185 exons:311-518;706-2185 (One Genscan-predicted intron) [Petromyzon marinus]
Chapaev3-1_SM	CMC-Chapaev	DNA/CMC-Chapaev-3	562	Chapaev3-1_SM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_SM cds_range:384-2070 [Schmidtea mediterranea]
Chapaev3-2_AA	CMC-Chapaev	DNA/CMC-Chapaev-3	552	Chapaev3-2_AA#DNA/CMC-Chapaev-3 RBRM:Chapaev3-2_AA cds_range:1248-3042 exons:1248-1474;1552-2745;2808-3042 (Two introns; one Genscan-predicted) [Aedes aegypti]
Chapaev3-2_AC	CMC-Chapaev	DNA/CMC-Chapaev-3	561	Chapaev3-2_AC#DNA/CMC-Chapaev-3 RBRM:Chapaev3-2_AC cds_range:426-2109 [Anolis carolinensis]
Chapaev3-2_HM	CMC-Chapaev	DNA/CMC-Chapaev-3	559	Chapaev3-2_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-4_PM cds_range:364-2041 [Hydra magnipapillata]
Chapaev3-2_HR	CMC-Chapaev	DNA/CMC-Chapaev-3	558	Chapaev3-2_HR#DNA/CMC-Chapaev-3 RBRM:Chapaev3-2_HR cds_range:398-2072 [Helobdella robusta]
Chapaev3-2_NVi	CMC-Chapaev	DNA/CMC-Chapaev-3	431	Chapaev3-2_NVi#DNA/CMC-Chapaev-3 RBRM:Chapaev3-2_NVi stops:1 cds_range:522-1815 via tfasty with Chapaev3-1_NVi [Nasonia vitripennis]
Chapaev3-2_PM	CMC-Chapaev	DNA/CMC-Chapaev-3	562	Chapaev3-2_PM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-2_PM frameshifts:1 cds_range:510-2197 via tfasty with Chapaev3-1_SM [Petromyzon marinus]
Chapaev3-3_AA	CMC-Chapaev	DNA/CMC-Chapaev-3	578	Chapaev3-3_AA#DNA/CMC-Chapaev-3 RBRM:Chapaev3-3_AA stops:1 cds_range:876-2610 One stopcodon, probably in an unspliced intron (poor donor site) [Aedes aegypti]
Chapaev3-3_HM	CMC-Chapaev	DNA/CMC-Chapaev-3	558	Chapaev3-3_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-5_PM cds_range:251-1925 [Hydra magnipapillata]
Chapaev3-3_HR	CMC-Chapaev	DNA/CMC-Chapaev-3	566	Chapaev3-3_HR#DNA/CMC-Chapaev-3 RBRM:Chapaev3-3_HR cds_range:213-1911 [Helobdella robusta]
Chapaev3-4_HM	CMC-Chapaev	DNA/CMC-Chapaev-3	550	Chapaev3-4_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-4_HM cds_range:453-2103 [Hydra vulgaris]
Chapaev3-5_HM	CMC-Chapaev	DNA/CMC-Chapaev-3	560	Chapaev3-5_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-5_HM cds_range:472-2152 [Hydra vulgaris]
Chapaev3-6_HM	CMC-Chapaev	DNA/CMC-Chapaev-3	594	Chapaev3-6_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-6_HM frameshifts:1 cds_range:155-1936 via tfasty with Chapaev3-5_HM [Hydra vulgaris]
Chapaev-1_HSal	CMC-Chapaev	DNA/CMC-Chapaev-3	576	Chapaev-1_HSal#DNA/CMC-Chapaev-3 RBRM:Chapaev-1_HSal frameshifts:3 cds_range:539-2779 exons:539-729;1240-2779 via genewise with Chapaev3-5_HM [Harpegnathos saltator]
Chapaev-4_HMa	CMC-Chapaev	DNA/CMC-Chapaev-3	565	Chapaev-4_HMa#DNA/CMC-Chapaev-3 RBRM:Chapaev-4_HMa frameshifts:1 cds_range:1286-2982 via tfasty with Chapaev3-2_HM [Hydra vulgaris]
Chapaev-20_HM	CMC-Chapaev	DNA/CMC-Chapaev-3	563	Chapaev-20_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev-20_HM cds_range:361-2050 [Hydra vulgaris]
EnSpm-1_DF	CMC-Chapaev	DNA/CMC-Chapaev-3	528	EnSpm-1_DF#DNA/CMC-Chapaev-3 RBRM:EnSpm-1_DF frameshifts:1 cds_range:833-2488 exons:833-1430;1502-2488 via genewise with Chapaev3-1_HM [Drosophila ficusphila]
EnSpm-1_LMi	CMC-Chapaev	DNA/CMC-Chapaev-3	553	EnSpm-1_LMi#DNA/CMC-Chapaev-3 RBRM:EnSpm-1_LMi cds_range:354-2013 [Locusta migratoria]
EnSpm-1_RPr	CMC-Chapaev	DNA/CMC-Chapaev-3	553	EnSpm-1_RPr#DNA/CMC-Chapaev-3 RBRM:EnSpm-1_RPr frameshifts:2 cds_range:295-2026 exons:295-502;576-2026 via genewise with Chapaev3-2_AA [Rhodnius prolixus]
EnSpm-2_LMi	CMC-Chapaev	DNA/CMC-Chapaev-3	557	EnSpm-2_LMi#DNA/CMC-Chapaev-3 RBRM:EnSpm-2_LMi cds_range:299-1970 [Locusta migratoria]
EnSpm1_DR_tp	CMC-EnSpm	DNA/CMC-EnSpm	1180	EnSpm1_DR_tp#DNA/CMC-EnSpm  Dfam:DF0003681 stops:1 cds_range:1987-5680 exons:1987-4645;4702-5261;5360-5680 via genewise with EnSpm-7_DR_tp [Danio rerio]
EnSpm-2_DR_p1	CMC-EnSpm	DNA/CMC-EnSpm	815	EnSpm-2_DR_p1#DNA/CMC-EnSpm  Dfam:DF0003911 cds_range:5073-7518 (may have more exons) [Danio rerio]
EnSpm-3_DR_tp	CMC-EnSpm	DNA/CMC-EnSpm	1214	EnSpm-3_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002739 frameshifts:1 cds_range:2114-5851 exons:2114-4753;4846-5851 via genewise with EnSpm-7_DR_1p [Danio rerio]
EnSpm-5_DR_p1	CMC-EnSpm	DNA/CMC-EnSpm	810	EnSpm-5_DR_p1#DNA/CMC-EnSpm  Dfam:DF0003773 cds_range:4628-7058 (may have more exons) [Danio rerio]
EnSpm-7_DR_tp	CMC-EnSpm	DNA/CMC-EnSpm	1250	EnSpm-7_DR_tp#DNA/CMC-EnSpm  Dfam:DF0003172 frameshifts:1 cds_range:3156-7061 exons:3156-5864;6017-7061 via genewise with EnSpm-9_DR_1p [Danio rerio]
EnSpm-9_DR_tp	CMC-EnSpm	DNA/CMC-EnSpm	1250	EnSpm-9_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002817 cds_range:1939-5924 exons:1939-4583;4818-5924 via genewise with EnSpm-7_DR_tp [Danio rerio]
EnSpm-12_DR_tp	CMC-EnSpm	DNA/CMC-EnSpm	1228	EnSpm-12_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002847 cds_range:1251-4992 exons:1251-3923;3980-4992 via genewise with EnSpm1_DR_tp [Danio rerio]
EnSpm-13_DR_tp	CMC-EnSpm	DNA/CMC-EnSpm	1249	EnSpm-13_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002632 cds_range:398-4454 exons:398-872;1031-3224;3374-4454 via genewise with EnSpm-7_DR_tp [Danio rerio]
EnSpm-14_DR_tp	CMC-EnSpm	DNA/CMC-EnSpm	1227	EnSpm-14_DR_tp#DNA/CMC-EnSpm  Dfam:DF0003053 frameshifts:2 stops:1 cds_range:588-4428 exons:588-3249;3408-4428 via genewise with EnSpm-13_DR_tp, 1 intron [Danio rerio]
UN-ATEnSpm9	CMC-EnSpm	DNA/CMC-EnSpm	1544	UN-ATEnSpm9#DNA/CMC-EnSpm   [Arabidopsis]
UN-Candystripe1_SB_p2	CMC-EnSpm	DNA/CMC-EnSpm	699	UN-Candystripe1_SB_p2#DNA/CMC-EnSpm   via tfasty with EnSpm-30_SBi_p2, 1 frameshift. [Sorghum bicolor] Appears to have a 200 AA t deletion around AA 420.
UN-EnSpm3_OS_p2	CMC-EnSpm	DNA/CMC-EnSpm	599	UN-EnSpm3_OS_p2#DNA/CMC-EnSpm   putative transposon protein (perhaps spliced to p1) [Oryza sativa]
UN-EnSpm5_SB_p2	CMC-EnSpm	DNA/CMC-EnSpm	425	UN-EnSpm5_SB_p2#DNA/CMC-EnSpm   via genewise with mRNA, 4 introns (6375:6463, 6620:6759, 6946:7034, 7209:7284) This is actually the translation of gi 242096375, as the consensus contains frameshifts etc. [Sorghum bicolor]
ATEnSpm1A_p2	CMC-EnSpm	DNA/CMC-EnSpm	428	ATEnSpm1A_p2#DNA/CMC-EnSpm RBRM:ATENSPM1A cds_range:1583-3773 exons:1583-1854;2071-2198;2275-2566;2662-2884;3400-3773 Needs to be genewised; may be too poor [Arabidopsis]
ATEnSpm2	CMC-EnSpm	DNA/CMC-EnSpm	1021	ATEnSpm2#DNA/CMC-EnSpm RBRM:ATENSPM2 frameshifts:2 stops:2 cds_range:559-3987 exons:559-2591;2651-2687;2805-3343;3441-3529;3620-3987 genewise with BREnSpm1 and ATEnSpm9. EnSpm-1_EPa_tp over 85% similar and broken. [Arabidopsis]
ATEnSpm3	CMC-EnSpm	DNA/CMC-EnSpm	1647	ATEnSpm3#DNA/CMC-EnSpm RBRM:ATENSPM3 frameshifts:1 stops:5 cds_range:1364-7911 exons:1364-2232;2325-3001;3079-3705;3808-3833;3899-4093;4194-4304;4466-4978;5286-5653;5728-5927;6165-6273;6348-6638;6718-7016;7124-7557;7677-7911 Genewise with atenspm7 protein [Arabidopsis]
ATEnSpm6	CMC-EnSpm	DNA/CMC-EnSpm	1556	ATEnSpm6#DNA/CMC-EnSpm RBRM:ATENSPM6 frameshifts:1 cds_range:527-7995 exons:527-689;752-2663;2737-3086;3150-3330;3406-3506;3586-3977;4197-4333;5506-5899;6677-6863;6948-7236;7340-7568;7649-7995 almost identical to ATEnSpm5, 90% identical to ATEnSpm9 genewise with the latter [Arabidopsis]
