tip_label	sequence_id	superfamily	cluster_size	length
CMC-EnSpm__EnSpm-16_OS_p1	EnSpm-16_OS_p1	CMC-EnSpm	3	856
CMC-EnSpm__EnSpm-40_SBi_1p	EnSpm-40_SBi_1p	CMC-EnSpm	3	859
CMC-EnSpm__EnSpm4_SB_p1	EnSpm4_SB_p1	CMC-EnSpm	3	1173
CMC-EnSpm__EnSpm4_SB_p2	EnSpm4_SB_p2	CMC-EnSpm	3	750
CMC-EnSpm__ATEnSpm6	ATEnSpm6	CMC-EnSpm	2	1556
CMC-EnSpm__CACTA_LP_p1	CACTA_LP_p1	CMC-EnSpm	2	1212
CMC-Mirage__Mirage1_CB	Mirage1_CB	CMC-Mirage	1	278
CMC-Mirage__UN-GIN1_int	UN-GIN1_int	CMC-Mirage	1	392
CMC-Mirage__UN-GIN2_int	UN-GIN2_int	CMC-Mirage	1	422
CMC-Mirage__UN-Mirage1	UN-Mirage1	CMC-Mirage	1	805
CMC-Transib__Transib-1_DAn	Transib-1_DAn	CMC-Transib	5	737
CMC-Transib__Transib1_Dmoj	Transib1_Dmoj	CMC-Transib	3	682
CMC-Transib__Transib-17_HM	Transib-17_HM	CMC-Transib	2	649
CMC-Transib__Transib-3_DAn	Transib-3_DAn	CMC-Transib	2	694
CMC-Transib__Transib-4_DBp	Transib-4_DBp	CMC-Transib	2	708
CMC-Transib__Transib2	Transib2	CMC-Transib	2	693
CMC-Transib__Transib-10_HM	Transib-10_HM	CMC-Transib	1	561
CMC-Transib__Transib-11_HM	Transib-11_HM	CMC-Transib	1	651
CMC-Transib__Transib-12_HM	Transib-12_HM	CMC-Transib	1	654
CMC-Transib__Transib-13_HM	Transib-13_HM	CMC-Transib	1	742
CMC-Transib__Transib-14_HM	Transib-14_HM	CMC-Transib	1	703
CMC-Transib__Transib-15_HM	Transib-15_HM	CMC-Transib	1	689
CMC-Transib__Transib-16_HM	Transib-16_HM	CMC-Transib	1	669
CMC-Transib__Transib-18_HM	Transib-18_HM	CMC-Transib	1	601
CMC-Transib__Transib1_AA	Transib1_AA	CMC-Transib	1	647
CMC-Transib__Transib1	Transib1	CMC-Transib	2	699
Dada__Dada-U6_SS_tp	Dada-U6_SS_tp	Dada	2	1386
Dada__Dada-tA_DR_tp	Dada-tA_DR_tp	Dada	2	1504
Dada__Dada-tL_DR_tp	Dada-tL_DR_tp	Dada	2	1295
Dada__Dada-1_BF_tp	Dada-1_BF_tp	Dada	1	1193
Dada__Dada-1_CGi_tp	Dada-1_CGi_tp	Dada	1	1161
Dada__Dada-1_CI_tp	Dada-1_CI_tp	Dada	1	1414
Dada__Dada-1_CSa_tp	Dada-1_CSa_tp	Dada	1	1209
Dada__Dada-1_CV_tp	Dada-1_CV_tp	Dada	1	1204
Dada__Dada-1_ES_tp	Dada-1_ES_tp	Dada	1	1075
Dada__Dada-1_FR_tp	Dada-1_FR_tp	Dada	1	592
Dada__Dada-1_GM_tp	Dada-1_GM_tp	Dada	1	822
Dada__Dada-1_LB_tp	Dada-1_LB_tp	Dada	1	1664
Dada__Dada-1_MB_tp	Dada-1_MB_tp	Dada	1	729
Dada__Dada-1_NV_tp	Dada-1_NV_tp	Dada	1	656
Dada__Dada-1_ON_tp	Dada-1_ON_tp	Dada	1	628
Ginger__Ginger1-7_HM_tp	Ginger1-7_HM_tp	Ginger	3	766
Ginger__Ginger1-1_HM_tp	Ginger1-1_HM_tp	Ginger	2	652
Ginger__Ginger1-2_DR_tp	Ginger1-2_DR_tp	Ginger	2	391
Ginger__Ginger-1_TriAdh_tp	Ginger-1_TriAdh_tp	Ginger	1	397
Ginger__Ginger1-10_HM_tp	Ginger1-10_HM_tp	Ginger	1	779
Ginger__Ginger1-11_HM_tp	Ginger1-11_HM_tp	Ginger	1	686
Ginger__Ginger1-12_HM_tp	Ginger1-12_HM_tp	Ginger	1	686
Ginger__Ginger1-1_AC_tp	Ginger1-1_AC_tp	Ginger	1	649
Ginger__Ginger1-1_AP_tp	Ginger1-1_AP_tp	Ginger	1	629
Ginger__Ginger1-1_BF_tp	Ginger1-1_BF_tp	Ginger	1	545
Ginger__Ginger1-2_AP_tp	Ginger1-2_AP_tp	Ginger	1	661
Ginger__Ginger1-3_HM_tp	Ginger1-3_HM_tp	Ginger	1	623
Ginger__Ginger1-4_HM_tp	Ginger1-4_HM_tp	Ginger	1	797
Ginger__Ginger1-5_HM_tp	Ginger1-5_HM_tp	Ginger	1	657
Ginger__Ginger1-9_HM_tp	Ginger1-9_HM_tp	Ginger	1	625
Kolobok__Kolobok-13_HM_tp	Kolobok-13_HM_tp	Kolobok	4	599
Kolobok__Kolobok-3_HM_tp	Kolobok-3_HM_tp	Kolobok	3	603
Kolobok__Kolobok-1_XT_tp	Kolobok-1_XT_tp	Kolobok	2	814
Kolobok__Kolobok-2_HM_tp	Kolobok-2_HM_tp	Kolobok	2	597
Kolobok__KolobokH-1_RIr	KolobokH-1_RIr	Kolobok	2	1343
Kolobok__Kolobok-11_HM_tp	Kolobok-11_HM_tp	Kolobok	1	595
Kolobok__Kolobok-12_HM_tp	Kolobok-12_HM_tp	Kolobok	1	594
Kolobok__Kolobok-14_HM_tp	Kolobok-14_HM_tp	Kolobok	1	613
Kolobok__Kolobok-15_HM_tp	Kolobok-15_HM_tp	Kolobok	1	606
Kolobok__Kolobok-17_HM_tp	Kolobok-17_HM_tp	Kolobok	1	591
Kolobok__Kolobok-18_HM_tp	Kolobok-18_HM_tp	Kolobok	1	587
Kolobok__Kolobok-19_HMa_tp	Kolobok-19_HMa_tp	Kolobok	1	601
Kolobok__Kolobok-1_AA	Kolobok-1_AA	Kolobok	1	1093
Kolobok__Kolobok-1_AP_tp	Kolobok-1_AP_tp	Kolobok	1	706
Kolobok__Kolobok-1_Aplcal	Kolobok-1_Aplcal	Kolobok	1	589
MULE__UN-IS1081_Mtu	UN-IS1081_Mtu	MULE	7	436
MULE__ATMU3_tp	ATMU3_tp	MULE	6	967
MULE__UN-27228664_Pre	UN-27228664_Pre	MULE	6	416
MULE__MuDR-5_SBi	MuDR-5_SBi	MULE	5	702
MULE__UN-1617569_Rop	UN-1617569_Rop	MULE	5	418
MULE__UN-46132715_Reu	UN-46132715_Reu	MULE	5	419
MULE__MUJITOS1	MUJITOS1	MULE	4	730
MULE__MuDR-14_PI_tp	MuDR-14_PI_tp	MULE	4	611
MULE__MuDR-1_PPI_tp	MuDR-1_PPI_tp	MULE	4	724
MULE__MuDR-33_PI_tp	MuDR-33_PI_tp	MULE	4	647
MULE__MuDRF-1_PGr	MuDRF-1_PGr	MULE	4	1346
MULE__UN-15923405_Sau	UN-15923405_Sau	MULE	4	396
MULE__MuDR-11_ALy_p1	MuDR-11_ALy_p1	MULE	3	700
MULE__MuDR-14_PI_p2	MuDR-14_PI_p2	MULE	3	628
MULE__MuDR-19_PI_p2	MuDR-19_PI_p2	MULE	3	610
Merlin__Merlin1_SM	Merlin1_SM	Merlin	3	306
Merlin__UN-46156674_Hso	UN-46156674_Hso	Merlin	3	396
Merlin__UN-58583728_Xor	UN-58583728_Xor	Merlin	3	367
Merlin__Merlin-3_HMa	Merlin-3_HMa	Merlin	2	332
Merlin__Merlin-7_HMa	Merlin-7_HMa	Merlin	2	304
Merlin__UN-33148872_Hdu	UN-33148872_Hdu	Merlin	2	345
Merlin__UN-46578998_Dvu	UN-46578998_Dvu	Merlin	2	312
Merlin__UN-54028461_Polaromonas	UN-54028461_Polaromonas	Merlin	2	266
Merlin__Merlin-1_CGi_1p	Merlin-1_CGi_1p	Merlin	1	329
Merlin__Merlin-1_DF	Merlin-1_DF	Merlin	1	288
Merlin__Merlin-1_DT	Merlin-1_DT	Merlin	1	336
Merlin__Merlin-1_LSal	Merlin-1_LSal	Merlin	1	292
Merlin__Merlin-2_CGi_1p	Merlin-2_CGi_1p	Merlin	1	343
Merlin__Merlin-2_HMa	Merlin-2_HMa	Merlin	1	334
Merlin__Merlin-4_HMa	Merlin-4_HMa	Merlin	1	323
Novosib__Novosib-1_CR	Novosib-1_CR	Novosib	1	1102
Novosib__Novosib-2_CR	Novosib-2_CR	Novosib	1	771
Novosib__Novosib-4_CR	Novosib-4_CR	Novosib	1	1774
P__P4_AG_tp	P4_AG_tp	P	7	814
P__P-8_MLP	P-8_MLP	P	4	1393
P__UN-P_Dme_tp	UN-P_Dme_tp	P	4	766
P__P-25_HM	P-25_HM	P	3	827
P__P-30_HM	P-30_HM	P	3	909
P__P-38_HMa	P-38_HMa	P	3	875
P__UN-31201925_Aga	UN-31201925_Aga	P	3	790
P__Galileo_DM	Galileo_DM	P	2	927
P__P-13_HM	P-13_HM	P	2	902
P__P-16_HM	P-16_HM	P	2	868
P__P-1_DRh	P-1_DRh	P	2	910
P__P-1_HM	P-1_HM	P	2	854
P__P-27_HM	P-27_HM	P	2	901
P__P-5_HM	P-5_HM	P	2	849
P__UN-P_Dbi_tp	UN-P_Dbi_tp	P	2	757
PIF-Harbinger__Harbinger-53_CCri_tp	Harbinger-53_CCri_tp	PIF-Harbinger	11	448
PIF-Harbinger__AutoChomp1_tp	AutoChomp1_tp	PIF-Harbinger	10	481
PIF-Harbinger__HARB7_ZM_tp	HARB7_ZM_tp	PIF-Harbinger	10	513
PIF-Harbinger__HARB-2_Mad_tp	HARB-2_Mad_tp	PIF-Harbinger	7	511
PIF-Harbinger__HarbingerS-3_PI_tp	HarbingerS-3_PI_tp	PIF-Harbinger	7	408
PIF-Harbinger__ATIS112A_tp	ATIS112A_tp	PIF-Harbinger	6	484
PIF-Harbinger__Harbinger-24_CCri_tp	Harbinger-24_CCri_tp	PIF-Harbinger	5	411
PIF-Harbinger__HARB-1_OS_tp	HARB-1_OS_tp	PIF-Harbinger	4	497
PIF-Harbinger__HARB-2_FV_tp	HARB-2_FV_tp	PIF-Harbinger	4	499
PIF-Harbinger__HARB-9_FV_tp	HARB-9_FV_tp	PIF-Harbinger	4	443
PIF-Harbinger__Harbinger-4_BF_tp	Harbinger-4_BF_tp	PIF-Harbinger	4	442
PIF-Harbinger__ISL2EU-1_LHu_tp	ISL2EU-1_LHu_tp	PIF-Harbinger	4	693
PIF-Harbinger__HARB-5_FV_tp	HARB-5_FV_tp	PIF-Harbinger	3	449
PIF-Harbinger__Harbinger-1_ADi_tp	Harbinger-1_ADi_tp	PIF-Harbinger	3	359
PIF-Harbinger__Harbinger-36_CCri_tp	Harbinger-36_CCri_tp	PIF-Harbinger	3	382
PiggyBac__piggyBac-11_PI_tp	piggyBac-11_PI_tp	PiggyBac	5	1001
PiggyBac__piggyBac-3_SSa_tp	piggyBac-3_SSa_tp	PiggyBac	5	639
PiggyBac__piggyBacX-33_CCri_tp	piggyBacX-33_CCri_tp	PiggyBac	5	1408
PiggyBac__piggyBacX-22_CCri_tp	piggyBacX-22_CCri_tp	PiggyBac	4	1374
PiggyBac__PiggyBac-2_HM	PiggyBac-2_HM	PiggyBac	3	662
PiggyBac__PiggyBac-7_SM	PiggyBac-7_SM	PiggyBac	3	582
PiggyBac__UN-50741428_GGgene	UN-50741428_GGgene	PiggyBac	3	569
PiggyBac__piggyBac-16_SM	piggyBac-16_SM	PiggyBac	3	601
PiggyBac__piggyBac-4B_LMi_tp	piggyBac-4B_LMi_tp	PiggyBac	3	650
PiggyBac__piggyBac-4_PR_tp	piggyBac-4_PR_tp	PiggyBac	3	1070
PiggyBac__piggyBacX-25_CCri_tp	piggyBacX-25_CCri_tp	PiggyBac	3	1125
PiggyBac__piggyBacX-28_CCri_tp	piggyBacX-28_CCri_tp	PiggyBac	3	1265
PiggyBac__AvPB2_tp	AvPB2_tp	PiggyBac	2	575
PiggyBac__PiggyBac-1_XT	PiggyBac-1_XT	PiggyBac	2	597
PiggyBac__PiggyBac-4_SM	PiggyBac-4_SM	PiggyBac	2	529
Sola__Sola2-2_NVi_tp	Sola2-2_NVi_tp	Sola	5	669
Sola__Sola1-1_PI_tp	Sola1-1_PI_tp	Sola	4	791
Sola__Sola1-2_Psojae_tp	Sola1-2_Psojae_tp	Sola	3	684
Sola__Sola1-10_AP_tp	Sola1-10_AP_tp	Sola	2	648
Sola__Sola1-2_HM_tp	Sola1-2_HM_tp	Sola	2	592
Sola__Sola1-3_PI_tp	Sola1-3_PI_tp	Sola	2	666
Sola__Sola1-4_AA_tp	Sola1-4_AA_tp	Sola	2	710
Sola__Sola1-4_CGi_tp	Sola1-4_CGi_tp	Sola	2	692
Sola__Sola2-1_HM_tp	Sola2-1_HM_tp	Sola	2	750
Sola__Sola2-5_LSal_tp	Sola2-5_LSal_tp	Sola	2	694
Sola__Sola2-6_AAe_tp	Sola2-6_AAe_tp	Sola	2	718
Sola__Sola3-1_BF_tp	Sola3-1_BF_tp	Sola	2	1153
Sola__Sola3-3_HM_tp	Sola3-3_HM_tp	Sola	2	1037
Sola__Sola-1_DK_tp	Sola-1_DK_tp	Sola	1	578
Sola__Sola1-11_AP_tp	Sola1-11_AP_tp	Sola	1	665
TcMar__Mariner-13_LHu_tp	Mariner-13_LHu_tp	TcMar	32	369
TcMar__Mariner-7_PBa_tp	Mariner-7_PBa_tp	TcMar	31	364
TcMar__Mariner-5_ACe_tp	Mariner-5_ACe_tp	TcMar	30	373
TcMar__Mariner-40_SSa_tp	Mariner-40_SSa_tp	TcMar	16	344
TcMar__Mariner-3_LHu_tp	Mariner-3_LHu_tp	TcMar	14	362
TcMar__Mariner-4_CCri_tp	Mariner-4_CCri_tp	TcMar	14	574
TcMar__Mariner-1_DVi_tp	Mariner-1_DVi_tp	TcMar	13	401
TcMar__Mariner-2_LHu_tp	Mariner-2_LHu_tp	TcMar	13	361
TcMar__Mariner-4_CFl_tp	Mariner-4_CFl_tp	TcMar	12	360
TcMar__Mariner-61_LMi_tp	Mariner-61_LMi_tp	TcMar	12	384
TcMar__Mariner-12_AEc_tp	Mariner-12_AEc_tp	TcMar	8	384
TcMar__Mariner-26_CGi_tp	Mariner-26_CGi_tp	TcMar	8	378
TcMar__Mariner-14_DBp_tp	Mariner-14_DBp_tp	TcMar	7	356
TcMar__Mariner-6_Crp_tp	Mariner-6_Crp_tp	TcMar	7	603
TcMar__UN-Mariner2_GT_tp	UN-Mariner2_GT_tp	TcMar	7	365
Zator__Zator-2_HM	Zator-2_HM	Zator	3	832
Zator__Zator-2_AA	Zator-2_AA	Zator	2	1089
Zator__Zator-1_AA	Zator-1_AA	Zator	1	782
Zator__Zator-1_BF	Zator-1_BF	Zator	1	1132
Zator__Zator-1_CGi_tp	Zator-1_CGi_tp	Zator	1	971
Zator__Zator-1_CP	Zator-1_CP	Zator	1	794
Zator__Zator-1_HM	Zator-1_HM	Zator	1	790
Zator__Zator-3_HM	Zator-3_HM	Zator	1	784
Zator__Zator-4_HM	Zator-4_HM	Zator	1	788
Zisupton__UN-gi751707416_tp	UN-gi751707416_tp	Zisupton	5	1274
Zisupton__UN-Zisupton-4_DR_tp	UN-Zisupton-4_DR_tp	Zisupton	2	1177
Zisupton__UN-gi527300978_tp	UN-gi527300978_tp	Zisupton	2	962
Zisupton__UN-gi749759490_tp	UN-gi749759490_tp	Zisupton	2	1156
Zisupton__UN-gi749831149_tp	UN-gi749831149_tp	Zisupton	2	782
Zisupton__UN-gi751692202_tp	UN-gi751692202_tp	Zisupton	2	1330
Zisupton__UN-gi768943469_tp	UN-gi768943469_tp	Zisupton	2	1105
Zisupton__Zisupton-1_PGr_tp	Zisupton-1_PGr_tp	Zisupton	2	866
Zisupton__Zisupton-4_PGr_tp	Zisupton-4_PGr_tp	Zisupton	2	843
Zisupton__Zisupton-5_DR_tp	Zisupton-5_DR_tp	Zisupton	2	981
Zisupton__DNA-17_CCri_hel1	DNA-17_CCri_hel1	Zisupton	1	255
Zisupton__DNA-17_CCri_hel2	DNA-17_CCri_hel2	Zisupton	1	560
Zisupton__DNA-17_CCri_p4	DNA-17_CCri_p4	Zisupton	1	751
Zisupton__DNA-17_CCri_tp	DNA-17_CCri_tp	Zisupton	1	1281
Zisupton__DNA-18_CCri_4p	DNA-18_CCri_4p	Zisupton	1	590
hAT__hAT-16_ZM_tp	hAT-16_ZM_tp	hAT	11	750
hAT__UN-116308850_Osa_tp	UN-116308850_Osa_tp	hAT	9	864
hAT__UN-Hobo_tp	UN-Hobo_tp	hAT	9	658
hAT__ATHAT7_tp	ATHAT7_tp	hAT	6	750
hAT__UN-PRKRIR_Oan_eg_tp	UN-PRKRIR_Oan_eg_tp	hAT	6	764
hAT__hAT-7_AMi_tp	hAT-7_AMi_tp	hAT	6	623
hAT__Chaplin4_FR_tp	Chaplin4_FR_tp	hAT	5	609
hAT__Charlie24_tp	Charlie24_tp	hAT	4	602
hAT__HAT-1_DP_tp	HAT-1_DP_tp	hAT	4	596
hAT__RAHAT_tp	RAHAT_tp	hAT	4	822
hAT__UN-34914880_Osa_tp	UN-34914880_Osa_tp	hAT	4	919
hAT__hAT-17_Croc_tp	hAT-17_Croc_tp	hAT	4	851
hAT__hAT-5_PTr_tp	hAT-5_PTr_tp	hAT	4	739
hAT__hAT-7_LCh_tp	hAT-7_LCh_tp	hAT	4	733
hAT__hAT-8_CPB_tp	hAT-8_CPB_tp	hAT	4	666
