"","ins1","ins2","k80","chr1","start1","end1","chr2","start2","end2","mid1","mid2","same_chr","genomic_dist_mid","genomic_dist_edge","in_gap","rank"
"50","A6-Wild5B_52","A6-Wild5B_37",0,"2L",14887432,14887432,"2L",19890229,19890229,14887432,19890229,TRUE,5002797,5002797,FALSE,50
"51","A6-Wild5B_53","A6-Wild5B_37",0,"2L",15931742,15931742,"2L",19890229,19890229,15931742,19890229,TRUE,3958487,3958487,FALSE,51
"52","A6-Wild5B_41","A6-Wild5B_38",0,"2L",21783487,21783487,"2L",20715244,20715244,21783487,20715244,TRUE,1068243,1068243,FALSE,52
"53","A6-Wild5B_47","A6-Wild5B_39",0,"2L",7966456,7966456,"2L",20952528,20952528,7966456,20952528,TRUE,12986072,12986072,FALSE,53
"54","A6-Wild5B_46","A6-Wild5B_40",0,"2L",7934109,7934109,"2L",21078116,21078116,7934109,21078116,TRUE,13144007,13144007,FALSE,54
"55","A6-Wild5B_55","A6-Wild5B_40",0,"2L",18286654,18286654,"2L",21078116,21078116,18286654,21078116,TRUE,2791462,2791462,FALSE,55
"56","A6-Wild5B_55","A6-Wild5B_46",0,"2L",18286654,18286654,"2L",7934109,7934109,18286654,7934109,TRUE,10352545,10352545,FALSE,56
"57","A6-Wild5B_52","A6-Wild5B_48",0,"2L",14887432,14887432,"2L",9564503,9564503,14887432,9564503,TRUE,5322929,5322929,FALSE,57
"58","A6-Wild5B_53","A6-Wild5B_48",0,"2L",15931742,15931742,"2L",9564503,9564503,15931742,9564503,TRUE,6367239,6367239,FALSE,58
"59","A6-Wild5B_51","A6-Wild5B_50",0,"2L",14671836,14671836,"2L",12245969,12245969,14671836,12245969,TRUE,2425867,2425867,FALSE,59
"60","A6-Wild5B_54","A6-Wild5B_50",0,"2L",17088368,17088368,"2L",12245969,12245969,17088368,12245969,TRUE,4842399,4842399,FALSE,60
"61","A6-Wild5B_54","A6-Wild5B_51",0,"2L",17088368,17088368,"2L",14671836,14671836,17088368,14671836,TRUE,2416532,2416532,FALSE,61
"62","A6-Wild5B_53","A6-Wild5B_52",0,"2L",15931742,15931742,"2L",14887432,14887432,15931742,14887432,TRUE,1044310,1044310,FALSE,62
"63","A6-Wild5B_132","A6-Wild5B_129",0,"2R",19053462,19053462,"2R",7479086,7479086,19053462,7479086,TRUE,11574376,11574376,FALSE,63
"64","A6-Wild5B_133","A6-Wild5B_129",0,"2R",19073594,19073594,"2R",7479086,7479086,19073594,7479086,TRUE,11594508,11594508,FALSE,64
"65","A6-Wild5B_133","A6-Wild5B_132",0,"2R",19073594,19073594,"2R",19053462,19053462,19073594,19053462,TRUE,20132,20132,FALSE,65
"66","A6-Wild5B_137","A6-Wild5B_134",0,"2R",5950277,5950277,"2R",19547861,19547861,5950277,19547861,TRUE,13597584,13597584,FALSE,66
"67","A6-Wild5B_142","A6-Wild5B_134",0,"2R",11778230,11778230,"2R",19547861,19547861,11778230,19547861,TRUE,7769631,7769631,FALSE,67
"68","A6-Wild5B_140","A6-Wild5B_135",0,"2R",8301454,8301454,"2R",25105373,25105373,8301454,25105373,TRUE,16803919,16803919,FALSE,68
"69","A6-Wild5B_142","A6-Wild5B_137",0,"2R",11778230,11778230,"2R",5950277,5950277,11778230,5950277,TRUE,5827953,5827953,FALSE,69
"70","A6-Wild5B_3","A6-Wild5B_2",0,"3L",9319648,9319648,"3L",5841802,5841802,9319648,5841802,TRUE,3477846,3477846,FALSE,70
"71","A6-Wild5B_8","A6-Wild5B_2",0,"3L",4001152,4001152,"3L",5841802,5841802,4001152,5841802,TRUE,1840650,1840650,FALSE,71
"72","A6-Wild5B_16","A6-Wild5B_2",0,"3L",17566666,17566666,"3L",5841802,5841802,17566666,5841802,TRUE,11724864,11724864,FALSE,72
"73","A6-Wild5B_8","A6-Wild5B_3",0,"3L",4001152,4001152,"3L",9319648,9319648,4001152,9319648,TRUE,5318496,5318496,FALSE,73
"74","A6-Wild5B_16","A6-Wild5B_3",0,"3L",17566666,17566666,"3L",9319648,9319648,17566666,9319648,TRUE,8247018,8247018,FALSE,74
"75","A6-Wild5B_9","A6-Wild5B_4",0,"3L",4840417,4840417,"3L",12008163,12008163,4840417,12008163,TRUE,7167746,7167746,FALSE,75
"76","A6-Wild5B_15","A6-Wild5B_5",0,"3L",13686395,13686395,"3L",13686794,13686795,13686395,13686794.5,TRUE,399.5,399,FALSE,76
"77","A6-Wild5B_18","A6-Wild5B_7",0,"3L",18063281,18063281,"3L",3081513,3081513,18063281,3081513,TRUE,14981768,14981768,FALSE,77
"78","A6-Wild5B_16","A6-Wild5B_8",0,"3L",17566666,17566666,"3L",4001152,4001152,17566666,4001152,TRUE,13565514,13565514,FALSE,78
"79","A6-Wild5B_19","A6-Wild5B_11",0,"3L",20713459,20713459,"3L",8894574,8894574,20713459,8894574,TRUE,11818885,11818885,FALSE,79
"80","A6-Wild5B_20","A6-Wild5B_11",0,"3L",22204693,22204693,"3L",8894574,8894574,22204693,8894574,TRUE,13310119,13310119,FALSE,80
"81","A6-Wild5B_13","A6-Wild5B_12",0,"3L",10006312,10006312,"3L",9169049,9169049,10006312,9169049,TRUE,837263,837263,FALSE,81
"82","A6-Wild5B_20","A6-Wild5B_19",0,"3L",22204693,22204693,"3L",20713459,20713459,22204693,20713459,TRUE,1491234,1491234,FALSE,82
"83","A6-Wild5B_93","A6-Wild5B_88",0,"3R",20526431,20526431,"3R",2387287,2387287,20526431,2387287,TRUE,18139144,18139144,FALSE,83
"84","A6-Wild5B_104","A6-Wild5B_88",0,"3R",29691953,29691953,"3R",2387287,2387287,29691953,2387287,TRUE,27304666,27304666,FALSE,84
"85","A6-Wild5B_116","A6-Wild5B_88",0,"3R",17900927,17900927,"3R",2387287,2387287,17900927,2387287,TRUE,15513640,15513640,FALSE,85
"86","A6-Wild5B_126","A6-Wild5B_88",0,"3R",30183667,30183667,"3R",2387287,2387287,30183667,2387287,TRUE,27796380,27796380,FALSE,86
"87","A6-Wild5B_94","A6-Wild5B_90",0,"3R",20782843,20782843,"3R",10496725,10496725,20782843,10496725,TRUE,10286118,10286118,FALSE,87
"88","A6-Wild5B_118","A6-Wild5B_90",0,"3R",20778651,20778651,"3R",10496725,10496725,20778651,10496725,TRUE,10281926,10281926,FALSE,88
"89","A6-Wild5B_120","A6-Wild5B_90",0,"3R",22494566,22494566,"3R",10496725,10496725,22494566,10496725,TRUE,11997841,11997841,FALSE,89
"90","A6-Wild5B_97","A6-Wild5B_91",0,"3R",25086787,25086787,"3R",10914458,10914458,25086787,10914458,TRUE,14172329,14172329,FALSE,90
"91","A6-Wild5B_100","A6-Wild5B_91",0,"3R",28106715,28106715,"3R",10914458,10914458,28106715,10914458,TRUE,17192257,17192257,FALSE,91
"92","A6-Wild5B_121","A6-Wild5B_91",0,"3R",23293133,23293133,"3R",10914458,10914458,23293133,10914458,TRUE,12378675,12378675,FALSE,92
"93","A6-Wild5B_104","A6-Wild5B_93",0,"3R",29691953,29691953,"3R",20526431,20526431,29691953,20526431,TRUE,9165522,9165522,FALSE,93
"94","A6-Wild5B_116","A6-Wild5B_93",0,"3R",17900927,17900927,"3R",20526431,20526431,17900927,20526431,TRUE,2625504,2625504,FALSE,94
"95","A6-Wild5B_126","A6-Wild5B_93",0,"3R",30183667,30183667,"3R",20526431,20526431,30183667,20526431,TRUE,9657236,9657236,FALSE,95
"96","A6-Wild5B_118","A6-Wild5B_94",0,"3R",20778651,20778651,"3R",20782843,20782843,20778651,20782843,TRUE,4192,4192,FALSE,96
"97","A6-Wild5B_120","A6-Wild5B_94",0,"3R",22494566,22494566,"3R",20782843,20782843,22494566,20782843,TRUE,1711723,1711723,FALSE,97
"98","A6-Wild5B_111","A6-Wild5B_95",0,"3R",14873309,14873309,"3R",22164432,22164442,14873309,22164437,TRUE,7291128,7291123,FALSE,98
"99","A6-Wild5B_100","A6-Wild5B_97",0,"3R",28106715,28106715,"3R",25086787,25086787,28106715,25086787,TRUE,3019928,3019928,FALSE,99
"100","A6-Wild5B_121","A6-Wild5B_97",0,"3R",23293133,23293133,"3R",25086787,25086787,23293133,25086787,TRUE,1793654,1793654,FALSE,100
"101","A6-Wild5B_109","A6-Wild5B_98",0,"3R",13498897,13498897,"3R",25371229,25371229,13498897,25371229,TRUE,11872332,11872332,FALSE,101
"102","A6-Wild5B_103","A6-Wild5B_99",0,"3R",29470824,29470824,"3R",27859546,27859546,29470824,27859546,TRUE,1611278,1611278,FALSE,102
"103","A6-Wild5B_121","A6-Wild5B_100",0,"3R",23293133,23293133,"3R",28106715,28106715,23293133,28106715,TRUE,4813582,4813582,FALSE,103
"104","A6-Wild5B_102","A6-Wild5B_101",0,"3R",28957954,28957954,"3R",28754073,28754073,28957954,28754073,TRUE,203881,203881,FALSE,104
"105","A6-Wild5B_107","A6-Wild5B_101",0,"3R",10918807,10918807,"3R",28754073,28754073,10918807,28754073,TRUE,17835266,17835266,FALSE,105
"106","A6-Wild5B_112","A6-Wild5B_101",0,"3R",17216226,17216226,"3R",28754073,28754073,17216226,28754073,TRUE,11537847,11537847,FALSE,106
"107","A6-Wild5B_117","A6-Wild5B_101",0,"3R",18699956,18699956,"3R",28754073,28754073,18699956,28754073,TRUE,10054117,10054117,FALSE,107
"108","A6-Wild5B_119","A6-Wild5B_101",0,"3R",21338431,21338431,"3R",28754073,28754073,21338431,28754073,TRUE,7415642,7415642,FALSE,108
"109","A6-Wild5B_124","A6-Wild5B_101",0,"3R",27485330,27485331,"3R",28754073,28754073,27485330.5,28754073,TRUE,1268742.5,1268742,FALSE,109
"110","A6-Wild5B_125","A6-Wild5B_101",0,"3R",27856815,27858239,"3R",28754073,28754073,27857527,28754073,TRUE,896546,895834,FALSE,110
"111","A6-Wild5B_107","A6-Wild5B_102",0,"3R",10918807,10918807,"3R",28957954,28957954,10918807,28957954,TRUE,18039147,18039147,FALSE,111
"112","A6-Wild5B_112","A6-Wild5B_102",0,"3R",17216226,17216226,"3R",28957954,28957954,17216226,28957954,TRUE,11741728,11741728,FALSE,112
"113","A6-Wild5B_117","A6-Wild5B_102",0,"3R",18699956,18699956,"3R",28957954,28957954,18699956,28957954,TRUE,10257998,10257998,FALSE,113
"114","A6-Wild5B_119","A6-Wild5B_102",0,"3R",21338431,21338431,"3R",28957954,28957954,21338431,28957954,TRUE,7619523,7619523,FALSE,114
"115","A6-Wild5B_124","A6-Wild5B_102",0,"3R",27485330,27485331,"3R",28957954,28957954,27485330.5,28957954,TRUE,1472623.5,1472623,FALSE,115
"116","A6-Wild5B_125","A6-Wild5B_102",0,"3R",27856815,27858239,"3R",28957954,28957954,27857527,28957954,TRUE,1100427,1099715,FALSE,116
"117","A6-Wild5B_116","A6-Wild5B_104",0,"3R",17900927,17900927,"3R",29691953,29691953,17900927,29691953,TRUE,11791026,11791026,FALSE,117
"118","A6-Wild5B_126","A6-Wild5B_104",0,"3R",30183667,30183667,"3R",29691953,29691953,30183667,29691953,TRUE,491714,491714,FALSE,118
"119","A6-Wild5B_123","A6-Wild5B_106",0,"3R",25937673,25937673,"3R",6228695,6228695,25937673,6228695,TRUE,19708978,19708978,FALSE,119
"120","A6-Wild5B_112","A6-Wild5B_107",0,"3R",17216226,17216226,"3R",10918807,10918807,17216226,10918807,TRUE,6297419,6297419,FALSE,120
"121","A6-Wild5B_117","A6-Wild5B_107",0,"3R",18699956,18699956,"3R",10918807,10918807,18699956,10918807,TRUE,7781149,7781149,FALSE,121
"122","A6-Wild5B_119","A6-Wild5B_107",0,"3R",21338431,21338431,"3R",10918807,10918807,21338431,10918807,TRUE,10419624,10419624,FALSE,122
"123","A6-Wild5B_124","A6-Wild5B_107",0,"3R",27485330,27485331,"3R",10918807,10918807,27485330.5,10918807,TRUE,16566523.5,16566523,FALSE,123
"124","A6-Wild5B_125","A6-Wild5B_107",0,"3R",27856815,27858239,"3R",10918807,10918807,27857527,10918807,TRUE,16938720,16938008,FALSE,124
"125","A6-Wild5B_117","A6-Wild5B_112",0,"3R",18699956,18699956,"3R",17216226,17216226,18699956,17216226,TRUE,1483730,1483730,FALSE,125
"126","A6-Wild5B_119","A6-Wild5B_112",0,"3R",21338431,21338431,"3R",17216226,17216226,21338431,17216226,TRUE,4122205,4122205,FALSE,126
"127","A6-Wild5B_124","A6-Wild5B_112",0,"3R",27485330,27485331,"3R",17216226,17216226,27485330.5,17216226,TRUE,10269104.5,10269104,FALSE,127
"128","A6-Wild5B_125","A6-Wild5B_112",0,"3R",27856815,27858239,"3R",17216226,17216226,27857527,17216226,TRUE,10641301,10640589,FALSE,128
"129","A6-Wild5B_115","A6-Wild5B_114",0,"3R",17494003,17494003,"3R",17271847,17271847,17494003,17271847,TRUE,222156,222156,FALSE,129
"130","A6-Wild5B_126","A6-Wild5B_116",0,"3R",30183667,30183667,"3R",17900927,17900927,30183667,17900927,TRUE,12282740,12282740,FALSE,130
"131","A6-Wild5B_119","A6-Wild5B_117",0,"3R",21338431,21338431,"3R",18699956,18699956,21338431,18699956,TRUE,2638475,2638475,FALSE,131
"132","A6-Wild5B_124","A6-Wild5B_117",0,"3R",27485330,27485331,"3R",18699956,18699956,27485330.5,18699956,TRUE,8785374.5,8785374,FALSE,132
"133","A6-Wild5B_125","A6-Wild5B_117",0,"3R",27856815,27858239,"3R",18699956,18699956,27857527,18699956,TRUE,9157571,9156859,FALSE,133
"134","A6-Wild5B_120","A6-Wild5B_118",0,"3R",22494566,22494566,"3R",20778651,20778651,22494566,20778651,TRUE,1715915,1715915,FALSE,134
"135","A6-Wild5B_124","A6-Wild5B_119",0,"3R",27485330,27485331,"3R",21338431,21338431,27485330.5,21338431,TRUE,6146899.5,6146899,FALSE,135
"136","A6-Wild5B_125","A6-Wild5B_119",0,"3R",27856815,27858239,"3R",21338431,21338431,27857527,21338431,TRUE,6519096,6518384,FALSE,136
"137","A6-Wild5B_125","A6-Wild5B_124",0,"3R",27856815,27858239,"3R",27485330,27485331,27857527,27485330.5,TRUE,372196.5,371484,FALSE,137
"138","A6-Wild5B_60","A6-Wild5B_58",0,"X",5232063,5232063,"X",3311241,3311241,5232063,3311241,TRUE,1920822,1920822,FALSE,138
"139","A6-Wild5B_68","A6-Wild5B_58",0,"X",13703301,13703301,"X",3311241,3311241,13703301,3311241,TRUE,10392060,10392060,FALSE,139
"140","A6-Wild5B_74","A6-Wild5B_58",0,"X",6466846,6466846,"X",3311241,3311241,6466846,3311241,TRUE,3155605,3155605,FALSE,140
"141","A6-Wild5B_63","A6-Wild5B_59",0,"X",9440961,9440963,"X",5113101,5113105,9440962,5113103,TRUE,4327859,4327856,FALSE,141
"142","A6-Wild5B_68","A6-Wild5B_60",0,"X",13703301,13703301,"X",5232063,5232063,13703301,5232063,TRUE,8471238,8471238,FALSE,142
"143","A6-Wild5B_74","A6-Wild5B_60",0,"X",6466846,6466846,"X",5232063,5232063,6466846,5232063,TRUE,1234783,1234783,FALSE,143
"144","A6-Wild5B_83","A6-Wild5B_62",0,"X",14990159,14990159,"X",8035110,8035112,14990159,8035111,TRUE,6955048,6955047,FALSE,144
"145","A6-Wild5B_82","A6-Wild5B_64",0,"X",12348619,12348619,"X",10644563,10644563,12348619,10644563,TRUE,1704056,1704056,FALSE,145
"146","A6-Wild5B_76","A6-Wild5B_67",0,"X",6944927,6944927,"X",13431448,13431448,6944927,13431448,TRUE,6486521,6486521,FALSE,146
"147","A6-Wild5B_74","A6-Wild5B_68",0,"X",6466846,6466846,"X",13703301,13703301,6466846,13703301,TRUE,7236455,7236455,FALSE,147
"148","A6-Wild5B_71","A6-Wild5B_70",0,"X",4490761,4490761,"X",17275315,17275315,4490761,17275315,TRUE,12784554,12784554,FALSE,148
"149","A6-Wild5B_75","A6-Wild5B_70",0,"X",6802665,6802665,"X",17275315,17275315,6802665,17275315,TRUE,10472650,10472650,FALSE,149
"150","A6-Wild5B_79","A6-Wild5B_70",0,"X",11176209,11176209,"X",17275315,17275315,11176209,17275315,TRUE,6099106,6099106,FALSE,150
"151","A6-Wild5B_86","A6-Wild5B_70",0,"X",19817401,19817401,"X",17275315,17275315,19817401,17275315,TRUE,2542086,2542086,FALSE,151
"152","A6-Wild5B_75","A6-Wild5B_71",0,"X",6802665,6802665,"X",4490761,4490761,6802665,4490761,TRUE,2311904,2311904,FALSE,152
"153","A6-Wild5B_79","A6-Wild5B_71",0,"X",11176209,11176209,"X",4490761,4490761,11176209,4490761,TRUE,6685448,6685448,FALSE,153
"154","A6-Wild5B_86","A6-Wild5B_71",0,"X",19817401,19817401,"X",4490761,4490761,19817401,4490761,TRUE,15326640,15326640,FALSE,154
"155","A6-Wild5B_84","A6-Wild5B_72",0,"X",16102969,16102969,"X",6040556,6040556,16102969,6040556,TRUE,10062413,10062413,FALSE,155
"156","A6-Wild5B_84","A6-Wild5B_73",0,"X",16102969,16102969,"X",6040556,6040556,16102969,6040556,TRUE,10062413,10062413,FALSE,156
"157","A6-Wild5B_79","A6-Wild5B_75",0,"X",11176209,11176209,"X",6802665,6802665,11176209,6802665,TRUE,4373544,4373544,FALSE,157
"158","A6-Wild5B_86","A6-Wild5B_75",0,"X",19817401,19817401,"X",6802665,6802665,19817401,6802665,TRUE,13014736,13014736,FALSE,158
"159","A6-Wild5B_86","A6-Wild5B_79",0,"X",19817401,19817401,"X",11176209,11176209,19817401,11176209,TRUE,8641192,8641192,FALSE,159
"160","A6-Wild5B_62","A6-Wild5B_59",0.000697350182774833,"X",8035110,8035112,"X",5113101,5113105,8035111,5113103,TRUE,2922008,2922005,FALSE,160
"161","A6-Wild5B_83","A6-Wild5B_59",0.000697350182774833,"X",14990159,14990159,"X",5113101,5113105,14990159,5113103,TRUE,9877056,9877054,FALSE,161
"162","A6-Wild5B_33","A6-Wild5B_30",0.000697836819487346,"2L",17080016,17080016,"2L",13575158,13575158,17080016,13575158,TRUE,3504858,3504858,FALSE,162
"163","A6-Wild5B_63","A6-Wild5B_62",0.000697836819487346,"X",9440961,9440963,"X",8035110,8035112,9440962,8035111,TRUE,1405851,1405849,FALSE,163
"164","A6-Wild5B_83","A6-Wild5B_63",0.000697836819487346,"X",14990159,14990159,"X",9440961,9440963,14990159,9440962,TRUE,5549197,5549196,FALSE,164
"165","A6-Wild5B_143","A6-Wild5B_135",0.00139421474619652,"2R",14518122,14518122,"2R",25105373,25105373,14518122,25105373,TRUE,10587251,10587251,FALSE,165
"166","A6-Wild5B_143","A6-Wild5B_140",0.00139421474619652,"2R",14518122,14518122,"2R",8301454,8301454,14518122,8301454,TRUE,6216668,6216668,FALSE,166
"167","A6-Wild5B_13","A6-Wild5B_5",0.00139421474619652,"3L",10006312,10006312,"3L",13686794,13686795,10006312,13686794.5,TRUE,3680482.5,3680482,FALSE,167
"168","A6-Wild5B_106","A6-Wild5B_104",0.00139421474619652,"3R",6228695,6228695,"3R",29691953,29691953,6228695,29691953,TRUE,23463258,23463258,FALSE,168
"169","A6-Wild5B_126","A6-Wild5B_106",0.00139421474619652,"3R",30183667,30183667,"3R",6228695,6228695,30183667,6228695,TRUE,23954972,23954972,FALSE,169
"170","A6-Wild5B_44","A6-Wild5B_30",0.0013950654279527,"2L",6115657,6115657,"2L",13575158,13575158,6115657,13575158,TRUE,7459501,7459501,FALSE,170
"171","A6-Wild5B_67","A6-Wild5B_59",0.0013950654279527,"X",13431448,13431448,"X",5113101,5113105,13431448,5113103,TRUE,8318345,8318343,FALSE,171
"172","A6-Wild5B_76","A6-Wild5B_59",0.0013950654279527,"X",6944927,6944927,"X",5113101,5113105,6944927,5113103,TRUE,1831824,1831822,FALSE,172
"173","A6-Wild5B_12","A6-Wild5B_5",0.00139518734209245,"3L",9169049,9169049,"3L",13686794,13686795,9169049,13686794.5,TRUE,4517745.5,4517745,FALSE,173
"174","A6-Wild5B_15","A6-Wild5B_13",0.00139518734209245,"3L",13686395,13686395,"3L",10006312,10006312,13686395,10006312,TRUE,3680083,3680083,FALSE,174
