tip_label	sequence_id	group	repeat_class	source	length	original_header
RP__Chapaev__Chapaev-1_ACa	Chapaev-1_ACa	Chapaev	DNA/CMC-Chapaev	RepeatPeps	938	Chapaev-1_ACa#DNA/CMC-Chapaev RBRM:Chapaev-1_ACa cds_range:726-3540 [Aplysia californica]
RP__Chapaev__Chapaev-1_BF	Chapaev-1_BF	Chapaev	DNA/CMC-Chapaev	RepeatPeps	1081	Chapaev-1_BF#DNA/CMC-Chapaev RBRM:Chapaev-1_BF cds_range:1040-5568 exons:1040-2233;2473-2757;2869-3097;3297-3537;3645-3737;3856-4068;4182-4554;4691-4832;4963-5168;5292-5568 GENSCAN_predicted_peptide_1|1081_aa [Branchiostoma floridae]
RP__Chapaev__Chapaev-1_HM	Chapaev-1_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	654	Chapaev-1_HM#DNA/CMC-Chapaev RBRM:Chapaev-1_HM cds_range:376-2433 exons:376-961;1056-2433 (One Genscan-predicted intron) [Hydra vulgaris]
RP__Chapaev__Chapaev-2_ACa	Chapaev-2_ACa	Chapaev	DNA/CMC-Chapaev	RepeatPeps	946	Chapaev-2_ACa#DNA/CMC-Chapaev RBRM:Chapaev-2_ACa cds_range:604-3442 [Aplysia californica]
RP__Chapaev__Chapaev-2_BF	Chapaev-2_BF	Chapaev	DNA/CMC-Chapaev	RepeatPeps	1107	Chapaev-2_BF#DNA/CMC-Chapaev RBRM:Chapaev-2_BF cds_range:810-5203 exons:810-2000;2211-2495;2601-2820;2934-3171;3282-3371;3466-3675;3768-4140;4246-4450;4534-4739;4891-5203 GENSCAN_predicted_peptide_1|1036_aa [Branchiostoma floridae]
RP__Chapaev__Chapaev-2_HM	Chapaev-2_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	679	Chapaev-2_HM#DNA/CMC-Chapaev RBRM:Chapaev-2_HM cds_range:772-2916 exons:772-1414;1521-2916 (One Genscan-predicted intron) [Hydra vulgaris]
RP__Chapaev__Chapaev-3_ACa	Chapaev-3_ACa	Chapaev	DNA/CMC-Chapaev	RepeatPeps	999	Chapaev-3_ACa#DNA/CMC-Chapaev RBRM:Chapaev-3_ACa cds_range:544-3541 [Aplysia californica]
RP__Chapaev__Chapaev-3_HM	Chapaev-3_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	864	Chapaev-3_HM#DNA/CMC-Chapaev RBRM:Chapaev-3_HM cds_range:450-4857 exons:450-1391;1940-2170;2553-2793;2902-2979;3066-3272;3379-3709;3800-3956;4131-4327;4641-4857 ( predicted by genewise using Chapaev-3B_HM) [Hydra vulgaris]
RP__Chapaev__Chapaev-3A_HM	Chapaev-3A_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	898	Chapaev-3A_HM#DNA/CMC-Chapaev RBRM:Chapaev-3A_HM cds_range:450-5517 exons:450-1361;1910-2113;2302-2542;2652-2729;2835-3041;4073-4419;4539-4717;4809-5042;5217-5517 (; predicted by genewise using Chapaev-2_BF; added large first exon, first intron predicted by Genscan) [Hydra vulgaris]
RP__Chapaev__Chapaev-3B_HM	Chapaev-3B_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	874	Chapaev-3B_HM#DNA/CMC-Chapaev RBRM:Chapaev-3B_HM stops:1 cds_range:455-4410 exons:455-1381;1843-2070;2163-2403;2489-2566;2685-2891;3061-3434;3511-3651;3871-4069;4175-4410 ( predicted by genewise using Chapaev-3A_HM) [Hydra vulgaris]
RP__Chapaev__Chapaev-4_HM	Chapaev-4_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	871	Chapaev-4_HM#DNA/CMC-Chapaev RBRM:Chapaev-4_HM cds_range:461-4666 exons:461-1356;1980-2193;2306-2546;2637-2714;2866-3072;3161-3491;3654-3856;4009-4190;4397-4666 ( predicted by genewise using Chapaev-3B_HM) [Hydra vulgaris]
RP__Chapaev__Chapaev-5_HM	Chapaev-5_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	687	Chapaev-5_HM#DNA/CMC-Chapaev RBRM:Chapaev-5_HM cds_range:546-2607 [Hydra vulgaris]
RP__Chapaev__Chapaev-5_HMa	Chapaev-5_HMa	Chapaev	DNA/CMC-Chapaev	RepeatPeps	660	Chapaev-5_HMa#DNA/CMC-Chapaev RBRM:Chapaev-5_HMa cds_range:360-2418 exons:360-945;1023-2418 via genewise with Chapaev-16_HM [Hydra vulgaris]
RP__Chapaev__Chapaev-6_HM	Chapaev-6_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	907	Chapaev-6_HM#DNA/CMC-Chapaev RBRM:Chapaev-6_HM cds_range:465-4883 exons:465-1426;1919-2132;2258-2498;2687-2764;2871-3071;3233-3563;3724-3883;4122-4315;4535-4883 ( predicted by genewise using Chapaev-3B_HM) [Hydra vulgaris]
RP__Chapaev__Chapaev-7_HM	Chapaev-7_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	890	Chapaev-7_HM#DNA/CMC-Chapaev RBRM:Chapaev-7_HM cds_range:461-4429 exons:461-1381;1859-2116;2235-2475;2555-2632;2773-2982;3064-3394;3522-3678;3804-3992;4136-4429 ( predicted by genewise using Chapaev-3B_HM) [Hydra vulgaris]
RP__Chapaev__Chapaev-8_HM	Chapaev-8_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	899	Chapaev-8_HM#DNA/CMC-Chapaev RBRM:Chapaev-8_HM frameshifts:1 cds_range:674-5660 exons:674-1724;2177-2358;2526-2769;2949-3026;3468-3671;3758-4101;4498-4657;5076-5269;5411-5660 ( predicted by genewise using Chapaev-3B_HM) [Hydra vulgaris]
RP__Chapaev__Chapaev-9_HM	Chapaev-9_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	487	Chapaev-9_HM#DNA/CMC-Chapaev RBRM:Chapaev-9_HM cds_range:1065-2526 [Hydra vulgaris]
RP__Chapaev__Chapaev-10_HM	Chapaev-10_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	543	Chapaev-10_HM#DNA/CMC-Chapaev RBRM:Chapaev-10_HM cds_range:867-2496 (fragment) [Hydra vulgaris]
RP__Chapaev__Chapaev-11_HM	Chapaev-11_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	565	Chapaev-11_HM#DNA/CMC-Chapaev RBRM:Chapaev-11_HM cds_range:857-2626 exons:857-1060;1134-2626 Via genewise with Chapaev-10_HM (1 intron, N-terminus missing) [Hydra vulgaris]
RP__Chapaev__Chapaev-12_HM	Chapaev-12_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	615	Chapaev-12_HM#DNA/CMC-Chapaev RBRM:Chapaev-12_HM cds_range:2061-4219 exons:2061-3286;3599-4219 Via genewise with Chapaev-3_ACa [Hydra vulgaris]
RP__Chapaev__Chapaev-13_HM	Chapaev-13_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	695	Chapaev-13_HM#DNA/CMC-Chapaev RBRM:Chapaev-13_HM cds_range:317-2462 exons:317-1010;1070-2462 Via genewise with Chapaev-2_HM (1 59 bp intron) [Hydra vulgaris]
RP__Chapaev__Chapaev-14_HM	Chapaev-14_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	659	Chapaev-14_HM#DNA/CMC-Chapaev RBRM:Chapaev-14_HM frameshifts:1 cds_range:1329-3505 exons:1329-1911;2111-3505 via genewise with Chapaev-2_HM [Hydra vulgaris]
RP__Chapaev__Chapaev-15_HM	Chapaev-15_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	654	Chapaev-15_HM#DNA/CMC-Chapaev RBRM:Chapaev-15_HM frameshifts:2 stops:1 cds_range:501-2540 exons:501-1083;1158-2540 via genewise with Chapaev-2_HM [Hydra vulgaris]
RP__Chapaev__Chapaev-16_HM	Chapaev-16_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	656	Chapaev-16_HM#DNA/CMC-Chapaev RBRM:Chapaev-16_HM cds_range:513-2584 exons:513-1095;1198-2584 via genewise with Chapaev-1_HM [Hydra vulgaris]
RP__Chapaev__Chapaev-17_HM	Chapaev-17_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	715	Chapaev-17_HM#DNA/CMC-Chapaev RBRM:Chapaev-17_HM frameshifts:1 stops:6 cds_range:749-2893 via tfasty with Chapaev-1_HM (potenitally a damaged intron missed). [Hydra vulgaris]
RP__Chapaev__Chapaev-18_HM	Chapaev-18_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	667	Chapaev-18_HM#DNA/CMC-Chapaev RBRM:Chapaev-18_HM cds_range:449-2659 exons:449-1055;1264-2659 via genewise with Chapaev-13_HM [Hydra vulgaris]
RP__Chapaev__Chapaev-19_HM	Chapaev-19_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	647	Chapaev-19_HM#DNA/CMC-Chapaev RBRM:Chapaev-19_HM frameshifts:1 cds_range:368-2383 exons:368-950;1023-2383 via genewise with Chapaev-16_HM#DNA/Chapaev [Hydra vulgaris]
RP__Chapaev__Chapaev-21_HM	Chapaev-21_HM	Chapaev	DNA/CMC-Chapaev	RepeatPeps	651	Chapaev-21_HM#DNA/CMC-Chapaev RBRM:Chapaev-21_HM frameshifts:2 cds_range:429-2446 exons:429-1013;1080-2446 via genewise with Chapaev-1_HM#DNA/Chapaev [Hydra vulgaris]
RP__Chapaev3__Chapaev3-1_AA	Chapaev3-1_AA	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	590	Chapaev3-1_AA#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_AA cds_range:1524-3294 [Aedes aegypti]
RP__Chapaev3__Chapaev3-1_AC	Chapaev3-1_AC	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	479	Chapaev3-1_AC#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_AC frameshifts:1 stops:1 cds_range:233-1671 via tfasty with Chapaev3-1_AA (may contain a 100 bp intron, but stopcodon (small x) is within conserved translated region and no proper donor site can be found) [Anolis carolinensis]
RP__Chapaev3__Chapaev3-1_DA	Chapaev3-1_DA	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	554	Chapaev3-1_DA#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_DA cds_range:909-2640 exons:909-2322;2391-2640 (One Genscan-predicted intron) [Drosophila ananassae]
RP__Chapaev3__Chapaev3-1_DW	Chapaev3-1_DW	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	537	Chapaev3-1_DW#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_DW frameshifts:4 stops:1 cds_range:978-2587 via tfasty with Chapaev3-1_AA [Drosophila willistoni]
RP__Chapaev3__Chapaev3-1_ET	Chapaev3-1_ET	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	453	Chapaev3-1_ET#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_ET cds_range:218-1577 [Echinops telfairi]
RP__Chapaev3__Chapaev3-1_HM	Chapaev3-1_HM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	558	Chapaev3-1_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-3_PM cds_range:208-1882 [Hydra magnipapillata]
RP__Chapaev3__Chapaev3-1_HR	Chapaev3-1_HR	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	559	Chapaev3-1_HR#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_HR frameshifts:1 cds_range:459-2135 via tfasty with Chapaev3-1_AA [Helobdella robusta]
RP__Chapaev3__Chapaev3-1_NVi	Chapaev3-1_NVi	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	583	Chapaev3-1_NVi#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_NVi stops:1 cds_range:1014-2763 via tfasty with Chapaev3-1_AA [Nasonia vitripennis]
RP__Chapaev3__Chapaev3-1_OL	Chapaev3-1_OL	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	459	Chapaev3-1_OL#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_OL frameshifts:2 cds_range:439-1818 via tfasty with Chapaev3-1_AA (probably has a 100 AA deletion at N terminus (300 bp missing in consensus) [Oryzias latipes]
RP__Chapaev3__Chapaev3-1_PM	Chapaev3-1_PM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	562	Chapaev3-1_PM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_PM cds_range:311-2185 exons:311-518;706-2185 (One Genscan-predicted intron) [Petromyzon marinus]
RP__Chapaev3__Chapaev3-1_SM	Chapaev3-1_SM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	562	Chapaev3-1_SM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-1_SM cds_range:384-2070 [Schmidtea mediterranea]
RP__Chapaev3__Chapaev3-2_AA	Chapaev3-2_AA	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	552	Chapaev3-2_AA#DNA/CMC-Chapaev-3 RBRM:Chapaev3-2_AA cds_range:1248-3042 exons:1248-1474;1552-2745;2808-3042 (Two introns; one Genscan-predicted) [Aedes aegypti]
RP__Chapaev3__Chapaev3-2_AC	Chapaev3-2_AC	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	561	Chapaev3-2_AC#DNA/CMC-Chapaev-3 RBRM:Chapaev3-2_AC cds_range:426-2109 [Anolis carolinensis]
RP__Chapaev3__Chapaev3-2_HM	Chapaev3-2_HM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	559	Chapaev3-2_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-4_PM cds_range:364-2041 [Hydra magnipapillata]
RP__Chapaev3__Chapaev3-2_HR	Chapaev3-2_HR	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	558	Chapaev3-2_HR#DNA/CMC-Chapaev-3 RBRM:Chapaev3-2_HR cds_range:398-2072 [Helobdella robusta]
RP__Chapaev3__Chapaev3-2_NVi	Chapaev3-2_NVi	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	431	Chapaev3-2_NVi#DNA/CMC-Chapaev-3 RBRM:Chapaev3-2_NVi stops:1 cds_range:522-1815 via tfasty with Chapaev3-1_NVi [Nasonia vitripennis]
RP__Chapaev3__Chapaev3-2_PM	Chapaev3-2_PM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	562	Chapaev3-2_PM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-2_PM frameshifts:1 cds_range:510-2197 via tfasty with Chapaev3-1_SM [Petromyzon marinus]
RP__Chapaev3__Chapaev3-3_AA	Chapaev3-3_AA	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	578	Chapaev3-3_AA#DNA/CMC-Chapaev-3 RBRM:Chapaev3-3_AA stops:1 cds_range:876-2610 One stopcodon, probably in an unspliced intron (poor donor site) [Aedes aegypti]
RP__Chapaev3__Chapaev3-3_HM	Chapaev3-3_HM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	558	Chapaev3-3_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-5_PM cds_range:251-1925 [Hydra magnipapillata]
RP__Chapaev3__Chapaev3-3_HR	Chapaev3-3_HR	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	566	Chapaev3-3_HR#DNA/CMC-Chapaev-3 RBRM:Chapaev3-3_HR cds_range:213-1911 [Helobdella robusta]
RP__Chapaev3__Chapaev3-4_HM	Chapaev3-4_HM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	550	Chapaev3-4_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-4_HM cds_range:453-2103 [Hydra vulgaris]
RP__Chapaev3__Chapaev3-5_HM	Chapaev3-5_HM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	560	Chapaev3-5_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-5_HM cds_range:472-2152 [Hydra vulgaris]
RP__Chapaev3__Chapaev3-6_HM	Chapaev3-6_HM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	594	Chapaev3-6_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev3-6_HM frameshifts:1 cds_range:155-1936 via tfasty with Chapaev3-5_HM [Hydra vulgaris]
RP__Chapaev3__Chapaev-1_BM	Chapaev-1_BM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	242	Chapaev-1_BM#DNA/CMC-Chapaev-3 RBRM:Chapaev-1_BM stops:1 cds_range:283-1009 via tfasty with Chapaev3-2_HM, Fragment [Bombyx mori]
RP__Chapaev3__Chapaev-1_HSal	Chapaev-1_HSal	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	576	Chapaev-1_HSal#DNA/CMC-Chapaev-3 RBRM:Chapaev-1_HSal frameshifts:3 cds_range:539-2779 exons:539-729;1240-2779 via genewise with Chapaev3-5_HM [Harpegnathos saltator]
RP__Chapaev3__Chapaev-4_HMa	Chapaev-4_HMa	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	565	Chapaev-4_HMa#DNA/CMC-Chapaev-3 RBRM:Chapaev-4_HMa frameshifts:1 cds_range:1286-2982 via tfasty with Chapaev3-2_HM [Hydra vulgaris]
RP__Chapaev3__Chapaev-20_HM	Chapaev-20_HM	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	563	Chapaev-20_HM#DNA/CMC-Chapaev-3 RBRM:Chapaev-20_HM cds_range:361-2050 [Hydra vulgaris]
RP__Chapaev3__EnSpm-1_DF	EnSpm-1_DF	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	528	EnSpm-1_DF#DNA/CMC-Chapaev-3 RBRM:EnSpm-1_DF frameshifts:1 cds_range:833-2488 exons:833-1430;1502-2488 via genewise with Chapaev3-1_HM [Drosophila ficusphila]
RP__Chapaev3__EnSpm-1_LMi	EnSpm-1_LMi	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	553	EnSpm-1_LMi#DNA/CMC-Chapaev-3 RBRM:EnSpm-1_LMi cds_range:354-2013 [Locusta migratoria]
RP__Chapaev3__EnSpm-1_RPr	EnSpm-1_RPr	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	553	EnSpm-1_RPr#DNA/CMC-Chapaev-3 RBRM:EnSpm-1_RPr frameshifts:2 cds_range:295-2026 exons:295-502;576-2026 via genewise with Chapaev3-2_AA [Rhodnius prolixus]
RP__Chapaev3__EnSpm-2_LMi	EnSpm-2_LMi	Chapaev3	DNA/CMC-Chapaev-3	RepeatPeps	557	EnSpm-2_LMi#DNA/CMC-Chapaev-3 RBRM:EnSpm-2_LMi cds_range:299-1970 [Locusta migratoria]
RP__EnSpm__ATEnSpm1A_p2	ATEnSpm1A_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	428	ATEnSpm1A_p2#DNA/CMC-EnSpm RBRM:ATENSPM1A cds_range:1583-3773 exons:1583-1854;2071-2198;2275-2566;2662-2884;3400-3773 Needs to be genewised; may be too poor [Arabidopsis]
RP__EnSpm__ATEnSpm2	ATEnSpm2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1021	ATEnSpm2#DNA/CMC-EnSpm RBRM:ATENSPM2 frameshifts:2 stops:2 cds_range:559-3987 exons:559-2591;2651-2687;2805-3343;3441-3529;3620-3987 genewise with BREnSpm1 and ATEnSpm9. EnSpm-1_EPa_tp over 85% similar and broken. [Arabidopsis]
RP__EnSpm__ATEnSpm3	ATEnSpm3	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1647	ATEnSpm3#DNA/CMC-EnSpm RBRM:ATENSPM3 frameshifts:1 stops:5 cds_range:1364-7911 exons:1364-2232;2325-3001;3079-3705;3808-3833;3899-4093;4194-4304;4466-4978;5286-5653;5728-5927;6165-6273;6348-6638;6718-7016;7124-7557;7677-7911 Genewise with atenspm7 protein [Arabidopsis]
RP__EnSpm__ATEnSpm6	ATEnSpm6	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1556	ATEnSpm6#DNA/CMC-EnSpm RBRM:ATENSPM6 frameshifts:1 cds_range:527-7995 exons:527-689;752-2663;2737-3086;3150-3330;3406-3506;3586-3977;4197-4333;5506-5899;6677-6863;6948-7236;7340-7568;7649-7995 almost identical to ATEnSpm5, 90% identical to ATEnSpm9 genewise with the latter [Arabidopsis]
RP__EnSpm__ATEnSpm7	ATEnSpm7	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1675	ATEnSpm7#DNA/CMC-EnSpm RBRM:ATENSPM7 cds_range:1111-7901 exons:1111-1142;1226-2135;2228-2904;2997-3623;3711-3736;3802-3996;4075-4185;4349-4861;5148-5493;5575-5779;6023-6131;6206-6458;6539-6578;6665-6965;7060-7520;7667-7901 from RepBase [Arabidopsis]
RP__EnSpm__ATENSPM10	ATENSPM10	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1515	ATENSPM10#DNA/CMC-EnSpm RBRM:ATENSPM10 stops:1 cds_range:1227-7742 exons:1227-2102;2192-2837;2912-3543;3690-3904;3962-4106;4222-4758;5202-5567;5637-5874;6079-6187;6257-6512;7022-7300;7485-7742 via genewise with ATEnSpm11#DNA/CMC-EnSpm [Arabidopsis]
